"job","firm","functional.area","type"
"Director | Financial Services, Strategic Communications","FTI Consulting","Unknown","Job"
"Advisory Senior Associates | Portfolio and Programme Management Dublin","PwC","Management","Job"
"QA Engineer","PA Consulting","Unknown","Job"
"Technology Solution Architect | Manager | Advisory Consulting - Dublin/Cork","PwC","IT Strategy","Job"
"Marketing Executive | Communications & Marketing | Core Operations","FTI Consulting","Marketing","Job"
"Lead Software Engineer","PA Consulting","Software","Job"
"Support Engineer","PA Consulting","Unknown","Job"
"Consultant | Financial Services, Strategic Communications","FTI Consulting","Unknown","Job"
"Pre-Sales Application Engineer","PA Consulting","Unknown","Job"
"Consultant | Energy | Strategic Communications ","FTI Consulting","Management","Job"
"Consultant | Technology, Media & Telecom, Strategic Communications","FTI Consulting","Unknown","Job"
"MC - AWS Pre-Sales - Alliance","PA Consulting","Unknown","Job"
"Consultant - Economics, Econometrics and Disputes | Economic & Financial Consulting","FTI Consulting","Unknown","Job"
"IT Sourcing Consultant","PA Consulting","Procurement","Job"
"MC - Intellectual Property Advisory - Networks","PA Consulting","Property Management","Job"
"Executive Assistant (12 Months FTC)| People and Transformation, Strategic Communications","FTI Consulting","Management","Job"
"Director | Financial Services, Strategic Communications","FTI Consulting","Unknown","Job"
"Operational Resilience Consultant - Financial Services","PA Consulting","Unknown","Job"
"Senior HR Advisor | Human Resources | Core Operations","FTI Consulting","Human Resources","Job"
"Cloud security Architect","PA Consulting","Cyber Security","Job"
"Lead Software Engineer","PA Consulting","Software","Job"
"Executive Assistant (12 months fixed term contract)| Economic and Financial Consulting","FTI Consulting","Unknown","Job"
"Digital Campaigns and Social Media Lead","PA Consulting","Digital","Job"
"Senior Advisor | Human Resources | Core Operations","FTI Consulting","Human Resources","Job"
"Data Privacy Specialist","PA Consulting","Data Science","Job"
"Consultant | Financial Services, Strategic Communications","FTI Consulting","Unknown","Job"
"Senior Consultant, e-Discovery | Technology","FTI Consulting","IT Strategy","Job"
"DevOps Engineer","PA Consulting","Software","Job"
"Workday HCM Lead","PA Consulting","Human Resources","Job"
"Senior Consultant, Restructuring Tax","FTI Consulting","Restructuring","Job"
